,0,1
0,351,483
1,559,94
2,314,406
3,342,425
4,336,592
5,381,505
6,538,80
7,220,408
8,457,244
9,75,417
10,155,437
11,567,125
12,320,495
13,45,565
14,393,336
15,533,221
16,344,434
17,200,597
18,360,549
19,286,609
20,489,291
21,583,69
22,50,509
23,58,522
24,73,483
25,540,107
26,506,203
27,11,508
28,250,552
29,492,76
30,508,331
31,569,161
32,461,70
33,180,484
34,340,436
35,504,288
36,317,480
37,3,442
38,157,500
39,418,114
40,213,499
41,206,612
42,494,103
43,245,451
44,59,459
45,455,270
46,628,103
47,179,604
48,336,578
49,266,501
50,549,304
51,614,34
52,254,545
53,108,589
54,39,620
55,599,143
56,48,458
57,449,235
58,72,388
59,98,526
60,407,229
61,619,130
62,397,292
63,456,14
64,454,170
65,331,508
66,409,28
67,152,515
68,87,633
69,480,317
70,490,263
71,469,51
72,216,536
73,188,465
74,475,220
75,362,590
76,346,493
77,246,415
78,263,495
79,532,363
80,593,379
81,460,115
82,81,576
83,272,580
84,306,456
85,322,419
86,171,497
87,472,336
88,499,213
89,589,354
90,560,229
91,191,573
92,367,579
93,578,88
94,616,380
95,431,316
96,508,11
97,112,438
98,25,568
99,116,588
100,630,382
101,533,202
102,41,414
103,298,546
104,368,391
105,349,539
106,625,294
107,402,127
108,13,590
109,502,214
110,536,127
111,42,486
112,515,153
113,18,537
114,540,335
115,93,451
116,522,58
117,568,25
118,602,176
119,433,218
120,263,490
121,252,453
122,183,619
123,631,1
124,241,551
125,527,163
126,419,72
127,440,104
128,465,188
129,513,363
130,588,277
131,555,100
132,435,7
133,454,295
134,576,141
135,609,89
136,76,492
137,512,147
138,546,298
139,467,243
140,452,343
141,410,99
142,427,365
143,388,197
144,487,319
145,488,284
146,597,200
147,542,264
148,416,48
149,507,306
150,482,371
151,437,229
152,464,192
153,520,105
154,482,151
155,624,55
156,297,591
157,426,336
158,563,323
159,79,539
160,62,468
161,510,317
162,164,488
163,380,616
164,382,558
165,464,219
166,47,577
167,566,248
168,69,583
169,624,329
170,553,49
171,175,601
172,536,216
173,352,395
174,605,96
175,507,189
176,415,353
177,150,446
178,4,490
179,548,208
180,293,574
181,176,602
182,394,159
183,48,416
184,581,251
185,527,5
186,229,437
187,476,67
188,123,428
189,328,470
190,570,83
191,120,530
192,598,303
193,156,623
194,50,462
195,113,500
196,594,31
197,282,430
198,370,561
199,509,338
200,96,605
201,434,344
202,626,267
203,552,52
204,515,152
205,350,610
206,468,166
207,316,617
208,462,6
209,140,620
210,537,18
211,395,352
212,433,217
213,16,423
214,319,622
215,543,116
216,128,493
217,312,601
218,244,457
219,393,19
220,573,367
221,280,389
222,182,473
223,85,531
224,612,206
225,580,272
226,326,603
227,472,330
228,494,330
229,319,487
230,122,598
231,207,395
232,587,158
233,127,402
234,444,258
235,622,372
236,541,20
237,118,582
238,478,80
239,88,578
240,506,160
241,623,318
242,391,368
243,512,249
244,541,56
245,138,435
246,23,457
247,386,280
248,516,219
249,500,113
250,561,370
251,560,164
252,248,566
253,68,617
254,336,517
255,189,507
256,491,73
257,19,572
258,193,608
259,101,632
260,514,322
261,524,79
262,617,316
263,268,400
264,288,504
265,386,145
266,354,589
267,128,524
268,493,128
269,572,3
270,369,559
271,468,62
272,43,556
273,329,532
274,198,439
275,121,503
276,270,455
277,574,201
278,412,139
279,264,542
280,154,518
281,137,447
282,385,521
283,430,282
284,309,550
285,277,588
286,308,603
287,344,498
288,532,329
289,247,593
290,197,497
291,400,268
292,129,628
293,367,518
294,448,97
295,502,306
296,131,390
297,523,338
298,20,541
299,414,41
300,251,581
301,212,473
302,65,463
303,127,536
304,630,330
305,568,117
306,629,374
307,395,207
308,422,72
309,146,406
310,306,507
311,222,535
312,601,312
313,445,46
314,189,587
315,414,77
316,466,78
317,616,184
318,35,547
319,390,366
320,517,336
321,478,317
322,529,301
323,9,522
324,316,584
325,621,384
326,564,277
327,458,268
328,32,416
329,249,512
330,284,488
331,471,305
332,545,254
333,547,35
334,316,431
335,290,531
336,629,95
337,446,150
338,429,79
339,77,414
340,28,409
341,486,204
342,46,445
343,219,516
344,74,525
345,289,413
346,258,444
347,66,521
348,278,422
349,530,256
350,306,502
351,516,321
352,486,42
353,329,513
354,107,540
355,434,288
356,620,140
357,537,133
358,555,169
359,520,300
360,518,367
361,322,492
362,190,592
363,49,553
364,123,511
365,184,616
366,37,606
367,100,555
368,99,410
369,172,403
370,425,342
371,592,190
372,448,316
373,430,128
374,580,234
375,333,604
376,481,84
377,283,505
378,40,607
379,476,24
380,401,259
381,567,44
382,274,545
383,187,397
384,553,356
385,420,92
386,35,519
387,409,190
388,204,486
389,480,241
390,178,586
391,443,359
392,237,501
393,3,572
394,466,333
395,584,316
396,442,223
397,581,329
398,315,420
399,106,426
400,166,468
401,241,480
402,269,551
403,277,564
404,442,3
405,86,606
406,273,432
407,361,563
408,456,306
409,577,47
410,406,314
411,371,482
412,49,431
413,496,226
414,57,444
415,112,618
416,67,476
417,590,13
418,451,93
419,551,269
420,489,196
421,145,386
422,493,346
423,353,415
424,528,276
425,602,262
426,27,421
427,323,563
428,201,574
429,538,79
430,234,580
431,503,121
432,90,477
433,547,155
434,153,515
435,415,246
436,226,496
437,366,390
438,550,309
439,633,87
440,72,419
441,522,9
442,5,527
443,531,85
444,10,453
445,73,491
446,38,570
447,405,345
448,26,577
449,288,434
450,492,322
451,119,396
452,97,448
453,574,293
454,94,559
455,265,459
456,521,385
457,597,133
458,546,60
459,44,567
460,610,350
461,525,135
462,529,236
463,56,541
464,628,129
465,82,450
466,62,621
467,300,520
468,423,334
469,128,584
470,202,533
471,607,173
472,106,407
473,404,110
474,444,57
475,473,182
476,140,558
477,379,593
478,408,220
479,230,470
480,294,625
481,565,45
482,557,181
483,579,367
484,562,296
485,133,537
486,267,626
487,619,183
488,477,90
489,174,556
490,554,310
491,450,82
492,177,561
493,200,474
494,129,432
495,551,241
496,166,579
497,505,283
498,15,428
499,599,299
500,78,466
501,144,411
502,221,533
503,250,429
504,420,315
505,279,465
506,304,549
507,622,319
508,375,600
509,287,487
510,447,49
511,441,127
512,425,30
513,115,460
514,585,257
515,106,402
516,565,22
517,214,502
518,399,148
519,514,224
520,392,109
521,552,250
522,417,53
523,497,171
524,590,362
525,618,61
526,219,464
527,438,112
528,155,547
529,407,106
530,317,478
531,358,479
532,610,313
533,257,585
534,485,62
535,142,455
536,52,552
537,397,187
538,611,259
539,116,564
540,110,404
541,591,201
542,367,573
543,621,62
544,19,393
545,345,405
546,406,146
547,438,215
548,626,186
549,11,398
550,593,247
551,413,289
552,558,140
553,334,423
554,606,37
555,439,198
556,562,12
557,459,265
558,155,439
559,61,484
560,266,526
561,505,381
562,22,565
563,531,290
564,79,538
565,426,106
566,455,142
567,359,443
568,583,71
569,139,412
570,72,422
571,210,463
572,233,605
573,347,627
574,62,485
575,517,382
576,148,399
577,128,430
578,263,475
579,421,27
580,208,548
581,111,615
582,341,412
583,384,621
584,396,119
585,561,177
586,431,49
587,394,149
588,419,322
589,24,476
590,477,165
591,126,496
592,484,61
593,338,523
594,461,346
595,70,461
596,373,611
597,325,571
598,195,452
599,320,474
600,163,527
601,302,596
602,558,382
603,231,554
604,587,189
605,79,524
606,450,211
607,424,311
608,523,6
609,199,440
610,124,446
611,600,375
612,510,91
613,239,503
614,398,11
615,310,554
616,627,347
617,264,596
618,17,585
619,102,534
620,1,631
621,211,450
622,185,550
623,612,376
624,483,73
625,462,50
626,338,509
627,60,546
628,376,612
629,215,438
630,61,618
631,224,514
632,219,566
633,356,553
634,524,128
635,498,228
636,80,478
637,548,76
638,571,325
639,566,219
640,64,399
641,559,369
642,181,557
643,447,137
644,458,48
645,348,405
646,429,250
647,305,471
648,228,498
649,501,266
650,130,619
651,615,111
652,513,329
653,84,481
654,103,494
655,428,123
656,525,74
657,617,68
658,500,157
659,600,253
660,238,404
661,259,625
662,556,174
663,586,327
664,479,201
665,483,351
666,66,557
667,416,32
668,544,190
669,608,193
670,104,440
671,402,106
672,554,231
673,188,421
674,428,15
675,519,35
676,159,394
677,95,629
678,336,426
679,205,608
680,584,128
681,260,534
682,544,302
683,285,627
684,498,344
685,133,597
686,401,21
687,410,240
688,479,358
689,613,29
690,54,569
691,259,611
692,343,452
693,21,401
694,271,594
695,432,273
696,377,575
697,31,594
698,495,320
699,625,259
700,197,388
701,578,336
702,465,279
703,292,397
704,241,413
705,169,555
706,449,33
707,261,400
708,186,626
709,535,222
710,103,628
711,594,271
712,322,514
713,586,178
714,391,357
715,136,396
716,161,569
717,34,614
718,432,129
719,220,475
720,556,43
721,91,510
722,579,166
723,229,560
724,243,467
725,488,164
726,389,280
727,436,364
728,316,448
729,135,525
730,423,16
731,618,112
732,330,630
733,217,433
734,469,132
735,92,420
736,229,407
737,399,64
738,262,602
739,439,155
740,8,615
741,588,116
742,457,23
743,539,349
744,224,575
745,390,131
746,511,241
747,572,19
748,440,199
749,613,307
750,124,408
751,378,633
752,218,433
753,595,2
754,530,120
755,591,297
756,411,339
757,109,392
758,329,624
759,484,180
760,611,373
761,241,511
762,435,138
763,372,622
764,388,72
765,336,519
766,280,386
767,147,512
768,116,543
769,539,79
770,302,544
771,413,241
772,132,469
773,151,482
774,12,562
775,330,472
776,491,151
777,303,598
778,151,491
